Name,content,score
ARIS HIDAYAT (SIMPLE COLOUR),Terimakasih atas pelayanan nya sangat ramah dan sangat membantu semoga tetep jadi yang tebaik RSUD Kajen khususnya buat petugas dan pengurus ruang alamda terimakasih atas segala pelayanannya 🙏🙏🙏 …,5
Tumbu Geger,Terimakasih Alamanda,5
Puput Dianti,Terima kasih ruangan baru....tempatnya nyaman...perawatnya ramah.....alhamdulillah,5
Musfirotun alal Khafida,Ini rumah sakit atau penjara?? Masa adek saya di oprasi ibu bawa baju2 adek di marahi pake bahasa jawa dan kenceng ampe ruangan sebelah denger katanya dikatain mau kemah atau ngapain loh kan bawa baju ganti sama karpet buat tdr apa …,1
Indah ayu Nur aini,Terima kasih Alamanda,5
Asy Syaffa,"Terimakasih atas perawatannya, memuaskan",5
Beny Santoso,Parah pelayanan. Antri poli anak. Udah numpuk ga di panggil yg datang baru numpuk di panggil.  Rs kok kaya gini,1
Nazila Putri,Terimakasih banyak untuk perawatan yang baik di rsud kajen ini,5
Ali Yusuf,"Terima kasih atas pelayanan yg sangat baik ,, salam sehat 😊👍🙏 …",5
Ahmad Maefuri,"Selama kakak saya dirawat disini, pelayanan oke  sekali. Perawat ramah satsettt
Ruang PONEK",5
Pariyah,Terimakasih disini sangat mmbantu saya baik sekali sangat baik,5
Tole Jawen,pelayanan buruk!,1
Sri Utami,Terimakasih atas pelayanan yg baik selama berada disini.,5
2103035 Wahidatun Ni'mah,No review text,5
Yonas Adi Dharma Atmaja,No review text,5
Rizkhi Chandra,No review text,5
2103032 Shelly Kurnia Putri,No review text,5
2103013 Ditta Ainurrohmah,No review text,5
Irul Amirul,Nyaman bangett🥰🥰 bersihhh …,5
Ida Novi fitriyani,Sangat ramah bagus kualitas bagus,5
Ra Arifin,Perawat nya ramah ramah,5
unggul sayekti,No review text,5
Fadhesta Ainun,"bagus, nyaman, memuaskan",5
Syahar Banu,Pelayanan joss,5
Akbar Ghofirin,Halaman nya luas banget,5
vrch rara,"Pelayanan nya memuaskan, lingkungan nya bersih",5
ASTRI MEI DIANA,pelayanan RSUD kajen baik,5
Khotrul Ilmiyah,"sangat bagus, pelayanannya cepat.",5
Astria Prima,"Pelayanannya baik dan cepat, sangat bagus",5
Muhamad Ali12.,Bagus,5
dawi bahriyah,No review text,5
My Name,No review text,5
Amalia Salsabila,No review text,5
Nur Alimatul abidah,No review text,5
Aisyah Amini,No review text,5
Kayla Najlaa,No review text,5
Faradilla Nurul Aini,Tingkat kan terus dan tetap pertahankan. Terima kasih RSUD Kajen Kab. Pekalongan,5
Wanda Amalia,No review text,5
Putri Sari,No review text,5
Salsabilah,No review text,5
Depan Belakang,Pelayanan bagus dan bidannya ramah,5
Sodikin Dikin,"Istri saya melahirkan kata dokter harus disesar.Mentang2 pinggul kecil saya sudah panik pusing was was udah tanda tangan segala sampai sidik jari mau sesar jam 20:30wib.Emang pembukaan perlahan dari jam 10 pagi sampai jam 12siang cmn 1, di …",5
Bahrul Ulum,Pelayanan baik,5
Ardi Prasojo,Pelayanan sangat baik dan cepat,5
Dwi Elisanti,Terima kasih,5
Imam Standby,"Terimakasih, atas layanan baik nya semoga kedepannya menjadi layanan terbaik, aamiin, terimakasih.",5
SAKTI Pes,Terimakasih untuk RSUD kajen dengan pelayanan yg mudah dan memadahi semoga selalu di tahap yg selalu maju terimakasih 🙏 …,5
Caryono 123,trimakasih atas pelayananya.,5
Eno Moreno,Terimakasih atas pelayaananya .,5
annisa may,"Terimakasih untuk pelayanan yang telah diberikan,
Saya sangat puas",5
Dina,Terimakasih alamanda...ruangan baru,5
Amir Amar,Pelayanannya sangat ramah,5
Ardiansyah_0612,"Pelayanan yang baik, tenaga kesehatannya ramah, sigap, dan antusias serta profesional.",5
Wahyu dewa Ramadhani,"Memuaskan pelayanan, tempat strategis dekat dengan pasar dan alun-alun",5
muhammad wildan,"Perawatnya baik-baik, melayani dengan sepenuh hati, dan fasilitasnya memadai",5
rizki Aulia Zahro,Untung gedung barunya rapi,5
baiti rahma,"pelayanan yang bagus, dan perawat yang ramah-ramah",5
M.Abdul Majid,Tempatnya bagus dan bersih,5
Novika,No review text,5
Kayyisa Alma,No review text,5
Zav Jeans,Terima kasih atas pelayanan di RS ... Ruangannya bersih dan nyaman,5
Iwan Bopika,Terima kasih RSUD Kajen....ruangannya baru,5
Ikhwan Setiadi,"Terimakasih atas pelayanan nya yang baik, semoga sukses teruss",5
Akhmad Ahmad,Terima kasih rsud kajen .....ruanganya bersih.perawat nya ramah ramah,5
Afisyah Yustiana,No review text,5
Nazlia Fatikhah,No review text,5
Anwar Masalik,Terima kasih atas pelayanannya,5
Sih Ningrum,Terima kasih telah merawat ayahku. Terima kasih telah merawat ayahku dan dokternya,5
Febryanne Aulia Budiani,Ramah,5
Fasya Hanna,Pelayanan sangat memuaskan dan cekatan  tindakan. Ruangan bersih dan sangat nyaman. Terimakasih🙏🏼🥰 …,5
nadhea puspa,stafnya bagus,5
Angger Jati Narasoma (Angger),"Pelayanannya cepat, tempatnya rapih dan nyaman",5
Warni Ningsih,Terimakasih....alamanda...sudah merawat keluarga saya,5
Farhan Amin,Terimakasih atas pelayanan yang baik sekali,5
Aku Rizal,Terimakasi kepada rs kajen atas pelayananyan yang memuaskan.. Pokokmen top,5
Angga Airlangga,Terimakasih atas pelayanan di rsud kajen ruangan baru...selama  opnam....,5
Mika a,Terima kasih sudah merawat keluarga ku dengan sepenuh  hati.... ruangannya baru lantai 3,5
Najwa Hanum,"terimakasih atas bantuan medis dan pelayanan yang memuasakan , untuk itu bapak saya sehat kembali",5
Okti Adi,Terimakasih.... Gedung bagus....,5
Kinara Wangi,terimakasi atas bantuanya semoga sehat semua,5
Ayu Aisyah Turosidah,"Cara bicara bidan saat menangani pasien yg kesakitan mau melahirkan memperlakukan nya kurang ramah .
Dokternya Alhamdulillah baik2. …",2
Vera,Terimakasih,5
Utami Puspita asri,"Bersih, nyaman, adem, pelayanan baik, perawat nya baik,",5
Lia Novitayani,No review text,5
Saskia Rodatul Jannah,No review text,5
Agus Sukhaeri,terimakasih Alameda... heading bus by a man until patient,5
Tien Pramesti,rumah sakitnya nyaman dan lingkungannya bersih,5
Alinda Ayu,Tampatnya bersih banget perawatnya baik baik jadi nyaman pasiennya maupun dari pihak keluarganya🙏 …,5
Rizki Arianto,"tempatnya bagus bersih dan terutama perawatnya baik"" cantik"" pula",5
Fatah Argaa,"Disini pelayanannya baik, perawat nya juga baik, dan ramah",5
Widya Novita,"pelayanannya bagus, perawatnya baik baik, lingkungan rumah sakitnya juga nyaman",4
Abil 79,dari gedung baru viewnya keren,5
Zuhdi 1234,Terimakasih..... ruangannya baru..... nyaman banget,5
Via Vee,parah.. pelayanan lelet  bs.,1
Tiara Alfunjanatin,Nyaman,5
Abdur Rouf,Terima kasih atas pelayanannya yang bagus  tempat  bersih dan rapi,5
Zaeni Usman,Terimakasih atas pelayanan yang sangat ramah dan baik,5
Bang Oga,"Trimakasih, pelayanan sangat baik, luar biasa",5
Fitronah Fitronah123,Terimakasih...RSUD Kajen.....,5
keliekhp '81,"Pelayanan sudah cukup baik, pertahankan....",5
tiara dara 11,No review text,1
Iyut Yut,terimakasih atas pelayanan nya,5
Retno winarsih,No review text,5
Fadhila Fadhila,Terimakasih alamanda...rsud kajen,5
Dewi Afriyanto,"Bahasa perawatnya sangat sangat kurang mengenakan. . Ingin ku ludahi muka perawat"" nya",1
Milakholisah Tropong,No review text,1
Ananta Putra,pelayanannya super lama bgtt,1
Taryo,Terima kasih RSUD kajen,5
Lidya Zafa1,Bagus,5
Kus Dito,Terimakasih banyak untuk dokter dan suster dan tiem medis terimakasih bnyk,5
Warkadi Adi,Saya ucapkan terima kasih kpd RSUD KAJEN yang sudah menerapkan pelayanan yang ramah dan berkwalitas.,5
salimatul Sasa,Terimakasih RSUD... Gedung baru bagus,5
Amell Amaliyah,"Semoga tambah berkembang,,",5
Sulis Dianto,Untuk pelayanan dan prasarana sudah baik.,5
Riski Syarifudin,Sangat nyaman dan sangat terbantu sekali. Terimakasih buwat RSUD Kajen semoga slalu JD terbaik.,5
Ahmad Zaenudin,Alhamdulillah...terimakasih,5
Erni Fitriyah,No review text,5
Panjang Pekalongan,No review text,1
Efendy Teguh,"Pelayanan cepat, ramah, bangunan luas dan banyak pepohonan hijau sehingga pengunjung tidak merasa kepanasan dan bisa berteduh",5
Anisa Agustina,"Karyawan baik, ramah baik, cekatan",5
Diani Atingul Hidayah,"pelayannya sangat ramah dan sat set, lingkungannya sangat asri dan nyaman",5
Syiffa Viniarti,No review text,5
Megan Damaya,No review text,5
Fahda Alkaf,"Pelayanan bagus, baik, perawatnya ramah2 apalagi mahasiswa perawat",5
puput amanda,"pelayanan sangat baik dan gercep, perawatnya cantik” bgtt dan ramah😍 …",5
Vera agnes saputri,"Pelayanan ramah, baik, igd super sat set bat bet",5
Maulana Ramadhan,"tempatnya adem asri, apalagi di rooftop pelayanannya juga memuaskan.... semoga dapat terus ditingkatkan lagi🙏 …",5
Aku Tiar,"Tempat nya bagus, bersih, rapi, dan nyaman. Pelayanan dokter, staff, karyawan, dll ramah-ramah. …",5
ASKA Pictures Official,Pengalaman saya dulu tahun 2015 RSUD Kajen kualitas dan pelayanannya sangat buruk entah saya harus aduan ke mana dan sama siapa singkat cerita waktu almarhum bpak saya masuk ke UGD tidak ada tanggapan sama sekali maupun respon di kala Bpk …,1
News UPtodate,"Ruang vip infus harus ngomong dulu kalo habis.
Yang ramah kebanyakan perawat cowo .. perawat cewe beberapa ketus jutek.. …",1
Nadya Ramadhiani,Ada mahasiswa praktik dari Universitas Pekalongan yang baik dan ramah🤗 …,5
Philip Naar,Alhamdulillah pelayanan RSUD kajen baik dan tertata,5
M fajar Sodik,Bintang yg berbicara percuma panjang lebar menulis juga gak bakal berubah sifat ke pasien nya apalagi yg pakai bpjs perbanyak istigfar saja #ponek# cukup tahu saja,1
Auliana fitria eka marsali,"Pelayanan dokter kurang ramah, krna di periksa lngsung sampai bbrpa pasien dalam satu ruangan sekaligus, jadi terburu2 pdhal masih bnyak yg mau di tnykan, mohon utk di prbaiki lagi",2
Rahayu Sutomo,Terimakasih rsud kajen,5
Burhan Udyn,Terima kasih RSUD kajen,5
Husna Nur,No review text,5
Restu Wiguna,"Pelayanan tidak ramah kalo pake BPJS dari jm 9 pagi nungguin sampai jm stengah 2,siang.",1
alidha yuni utami,Pelayanan terlalu lambat pasien di biarkan menunggu lebih dr 3 jam di igd untuk dipindahkan ke rawat inap. Bilanya masih nunggu antri nunggu antri .. nunggu apaa ??? Antri apaaa ???? Sungguh di luar nalar,1
Azazah Aiza,No review text,5
Dicky Ashr,Pendaftaran hari jumat jam 10.10 wib sudah tutup.. Enak nemen kerja ne yo,1
Bagus Darmawan,"Mohon diperbanyak lagi tenaga penunjang medisnya atau apa istilahnya, kami cuma mau menebus obat harus mengantri 3 jam",3
Malik Setiasih,"Pelayanan sudah cukup baik,tapi masih perlu perbaikan lagi.. semoga kedepannya RSUD Kajen semakin memuaskan bagi setiap pasien",5
Iwan Dian,Pelayanan baik,5
Indah Wika,Pelayanan ramah dan tanggap. Ruang rawat dan kamar mandi pun bersih. Cuma kebetulan rungan sya tidak ada kipas ngin jd bnyak nyamuk.,5
Aji Saksena,terima kasih rsud kajen,5
Risqi Ixa,terimakasih,5
Family Collection,No review text,5
Sofi yah,Pelayanan cukup bagus. Cuman pelayanan didepan menunggu lama.,4
Egito Satu,"Baik,ramah puas dngan pelayananya",5
Elin Susilo wati,Tempat sangat nyaman,5
Kenzie Souvenir,"Untuk pelayanan di RSUD ini bagus,,untuk tindakan yang dilakukan dalam perawatan juga tepat..
Trimakaksih",5
Resmi Ayati,Alhamdulillah pelayanan baik.... bapak saya  di rawat di seroja...terimakasih,5
Maldini,Untuk poli anak dan kandungan tempat tunggu nya panas !!,2
Dwi Mega,Sangat puas dengan pelayanan di RSUD kajen,5
fina jeni,semangat kerja buat semuanya,5
Agung Wolunem,Terimakasih seroja....terimakasih rsud kajen,5
Lisdi Yanti,"Dua kali periksa disini
Pertama bulan lalu
Untuk pendaftaran tergolong cepat karena bisa langsung model scan sama sidik …",1
Adi Arya Wijaya,Terima kasih sudah dirawat di RSUD kajen,5
Am_ Fad_,"layanan semakin baik..
cepat dan mudah..",5
Tri Ningsih,"Saya prbaiki rating nya.Pelayanan disini lumayan baik,perawatnya ada yang melayani dngan baik,ya ada jg yang jutek,mohon maaf tapi perawatnya brisik bnget tiap malem,jadi menganggu pasien🙃,untuk kbersihan toliet sih lumayan,maaf tpi minimal …",3
Abe Lia,Bagus perawatan dirsud seroja..terimakasih,5
MUHIDIN,Pelayanannya cukup baik susternya juga ramah,5
FATUR DIAN RITMANTO,Dokter nya kurang ramah,2
Mi La,Terima kasih RSUD kajen,5
wonge piye,trimakasih udah dpt perawatan yg maksimal,5
Kesesi 2,Pelayanan lumayan bagus.....terimakasih,5
Hikmah Wati,"Pelayanan baik,ramah",5
Arief Pkl,Pelayanan baik,5
Delfa Permatasari,No review text,5
Eva latifah,Terimakasih RSUD kajen,5
tri purnamasari,"Pelayanannya memuaskan, perawatnya ramah-ramah, dokternya juga ramah, terimakasih ruang seroja.",5
Hani Ayu,"Alhamdulillah., terimakasih",5
Ir tiqoh,"Semua perawat di ruangan sarojo baik dan ramah
Ruang juga bersih",5
Media Arok,Terima kasih.....,5
Miftakhul A'mal,Terima kasih RSUD Kajen....jaya selalu,5
Puspitauwmy 16,"Nyaman, sejuk, ramah",5
Taufik Gunawan,No review text,1
Siti Chasanah,Puas pelayanan RSUD Kajen..... Jaya selalu RSUD Kajen untuk kab Pekalongan,5
Santi Nurcholisa Aisyah,"tadi ada mahasiswa Unissula orangnya ramah-ramah, membantu dalam pelayanan, baik hati juga, mantap pokoknya",5
Indah Dwi Putri,Mahasiswa unissula yg sedang magang ramah dan membantu pasien,5
Mustaqim Aqim,Pelayanan buruk,1
Lieany Rusli,pelayanan sangat baik dan ramah ramah,5
Istika Haroh,Pelayananya baik .... perawat nya ramah.... Terimakasih,5
Amira Khansa Nabila,"Sangat baik, perawat ramah2, periksa di poli gigi sangat nyaman…",5
Amalia Qurrotu’aini,"suka banget sama tempatnya yg indah dan adem dimata, utk pelayanannya sudah memuaskan.... semoga dapat terus ditingkatkan lagi🙏 …",5
Khoerotuldb95 Khoerotuldb95,"saya mengucapkan terimakasih atas pelayanan Rsud kajen , yg sudah merawat adik saya dgb sabar & baik 😊😇 …",5
Titi Aisah,"pelayanan bagus , perawat sangat ramah dan selalu senyum sapa .
sangat disayangkan kemanan waktu jam besuk kurang diperketat . karna banyak penjenguk yg tidak bergiliran menjenguk pasien . sehingga mengganggu pasien yg lainnya . untuk sarana dan prasarana sudah bagus 🙏🏼 …",5
Sugito Pedawang,Terima kasih RSUD kajen,5
Heppy Iyes,"Baik,rapi,pelayanan juga enak,nyaman",5
Ahmad Hadziq Hasani,"Gedung baru RSUD Kajen bagus sekali, desain modern finishing kaca. Kekurangannya kalo pas hujan petirnya menyambar nyambar, sangat terlihat jelas dan mengagetkan.. terutama bagi lansia",4
Triska Yanti,Makasih rsud kajen yang sudah  bisa melayani pendaftarn dgn program bupati pkl cukup pakai ktp bisa gratis.,5
Ariyan Iyan,Terima kasih buat pendaftaran ruang inap,5
Vinanti vinanti,Semoga jaya selalu rsud kajen,5
Anita Ismiyati,Staf nya ramah2,5
Catur Ikapkl,Pelayanan baik terutama bagian pendaftran,5
Gading ogi Saputra,Pelayanan baik,5
Andika 162,Cukup baik,5
Sopiyatun Atun,No review text,5
langit bumi,Terima kasih ruang seroja.....semoga rsud kajen semakin jaya untuk warga kab.pekalongan,5
Rafi Hadiananto,lumayan nyaman,5
Mae Yo,"Alhamdulilah anak saya dirawat di ruang anak, pelayanannya baik,perwat dan dokter ramah",5
Malaikat Hati,Oke,5
Salsa Bila,"pelayanan bagus,staff nya ramah²",4
My Fadhila,Staf pendftrn ramah,5
Yusuf,Pendaftaran baik,5
Muasyarotu Shofiyya,Mahasiswa umpp pelayanannya baik sekali,5
KING OFFISIALL,"Mahasiswa UMPP yang magang Cantik²"" Wkwkwkk",5
Riska Khaerunisa,No review text,5
syarif aliyudin,Terlalu banyak,5
Tiara Mezaluna,Mahasiswa UMPP sangat membantu,5
Mega Mega,Perawatnya kurang komunikatif dan kurang ramah. Tidak pernah mengecek infus pasien jika bukan keluarga yang mengecek. Bahkan kondisi pasien pun tidak tau. Keluhan pasien tidak pernah didengar. Judes jika dimintain tolong. Pelayanan sangat …,1
Nasipkhin Sipkhin,Petugas parkir Ramah sangat membantu org yg kesusahan parkir,5
Musafa,"Pekerjanya kurang teliti. Rujukan banyak yg salah,",1
Agung Sokosari,"Pelayanan untuk pasien BPJS sangat memuaskan bagi saya..terima kasih PK Dr,dan juga perwatnya..terima kasih..",5
Cas Mutiningsih,Pelayanan,5
Sri Wulan,No review text,5
Sugiarti Giarti,Pelayanan baik,5
Fitri Dwiastuti,"Mahasiswanya sangat ramah, baik dan humbel",5
Lutfi Zulfa,Mahasiswanya cantik cantik,5
Kirani Wilda Puspita,mahasiswa magangnya ramah dan murah senyum,5
Kusno Arya,Alhamdulillah semua berjalan dengan baik dan kami merasa nyaman atas pelayanan yang di berikan di RSUD kajen,5
Sj Sko,Terimakasih,5
Nirma Aprilia,Bagus..... penanganan nya cepat... Terimakasih RSUD kajen,5
Dicky Dnd,nyaman.besih.pelayanan baik,5
Agus Junior,"Pelayanan tanggap
Ayah saya harus di operasi, menggunakan kartu KIS masuk pagi langsung di tangani siang sudah masuk ruang operasi, terimakasih 🙏🙏 …",5
Iman Sugito,Petugas parkir ramah dan baik,5
Karyat,Bagus,5
Jamilatun nikmah nikmah,No review text,4
AWAWE IK,Tpprj baik terimksih,5
Asri Ningsih,No review text,4
Ikrom Ikhsanul,Pelyanan baik ramah,5
Frendi Setya,Pelayanan ramah,5
abyan altha,No review text,5
WIDIツ,No review text,5
Bayu Yuniarso,Dengan adanya gedung baru pasien semakin banyak tertib nyaman .,5
Nala Atqiya,Terimakasih rsud kajen...jaya selalu,5
EKKO jlop,pelayanan cepat dan ramah..ruangan pasien bersih,5
Putra Kawax,"Saya sudah bolak balik rawat jalan di rsud kajen selama tiga tahun. bintang lima ini saya berikan untuk para dokter,perawat,satpam, dan juga para karyawan yang sudah saya anggap seperti keluarga sendiri, mereka sangat ramah dan baik kepada …",5
Sofiyan Sofiyan,"Satapamnya baik baik dan ganteng, pelayanan tegas dan patut di acungi jempol.",5
Dian Kartikasari,"Alkhamdulillah trimakasih RSUD KAJEN,yg telah merawat ibu kami,di Ruang Vip Matahari.
Tak lupa kami ucapkan terimakasih kepada Ruang Informasi terutama karena kami …",5
Bagus pekat,"Pelayanan poli baik, tempatnya bersih",5
Ritha Dyan,"Alhamdulillah, utk pelayanan dari pendaftaran depan sampe ke poli sangat memuaskan, smoga RSUD kajen semakin sukses,,,, 👍 …",5
Cahaya Ilmu buaran,pelayanan pendaftaran semakin baik,5
Muhammad Hidayatullah,Pelayanan sangat memuaskan,5
Nur Lailatul Maghfiroh,No review text,5
Niken aidina Melani,Pelayanan antar obat JNE memudahkan pasien tarifnya juga murah dan cepat dalam pengantaran,5
An Wi,Keren petugasnya cantik,5
Anan Wijaya,Bagus pelayanannya,5
Perintisya Yunitasanty,"Tempatnya bersih,  dan ramah2 pegawainya",5
farist firmans,Pelayanan baik,5
akun epep,terima kasih,5
Turah 0009,Terimakasih,5
Nandemo Channel,Tempatnya nyaman dan pelayanannya mantap.Susternya ramah²,5
Dedi Handoyo,Terimakasih rsud kajen atas pelayanan yang baik,5
Nanang Kus,Terima kasih karyawan rsud tanggap ....dan cepat dalam pelayanan,5
Putri Meiningrum,kelas 3 kamarnya terlalu sempit:(,5
Wahyo No,Terimakasih RSUD.... Tingkatkan pelayanan RSUD kajen,5
cti.,Alhamdulillah opnam di ruang seroja pelayanannya bagus,5
Amel aurora,Terima kasih....maju jaya selalu,5
Akun Baru,Pelayanannya ramah dan menyenangkan dan bersih,5
Danuri 68,Saya warga kajen minta maaf....semoga pelayanan bisa ditingkatkan lagi....,5
Reni Zahra,Terimakasih RSUD kajen atas pelayanan yang baik,5
Aka. 090,No review text,5
Dini Dini,No review text,5
Najwa Fahira,Terimakasih atas pelayanan nya,5
Tarmono Mono,"pelayanan di runag seroja baik,  terimakasih rsud kajen dan ruang seroja.",5
Aden_mas 1986,Trimakasih atas pelayanan RSUD kajen sangat memuaskan,5
Sulis Tiowati,terima kasih atas pelayanan di Seroja.... tingkatkan pelayanannya......,5
Difa Lisa,Terima kasih Seroja..RSUD kajen,5
Muh Sabar,Terimma kasih rsud kajen,5
Eko prayitno,"Tempatnya bagus, strategis dan layanan yang bagus, tolong di pertahankan ataupun di tingkatkan kembali",5
dhanx 3,Terima kasih,5
Ciswati Ciswati,"Pelayanan nya bagus, gedung baru bersih perawatnya ramah ramah..perawat ruang kenanga sangat sigap,melayani full senyum, terimakasih mba mas perawat",5
Ani Ratnawaty,No review text,5
Miftah Rosiana Dewi,No review text,5
Halim Hafidz,Bagus pelayanannya..sopan sopan perawatnya,5
Slamet Pambudi,"Harusnya Poli dilengkapi dengan Layar antrian
Jd kita bisa tahu brp orang yg blm di panggil",2
Nur indah,Pelayanan sudah bagus.tapi kamar kls 3 panas.,5
Keke Miarevia,Semoga maju dan jaya.... alhamdulillah aku puas..tingkatkan pelayanan,5
Ifah Kesesi,Selama di rawat di seroja... Alhamdulillah pelayanan bagus perawatnya baik baik... Terima kasih RSUD kajen,5
Rini Septiani099,Pelayanannya sudah bagus👍 …,5
Atna Sabita,No review text,5
Airul Airul,R.flamboyan ok,5
Mutirah 009,Terimakasih rsud kajen....pelayananya bagus....ramah pegawai nya,5
Erina Rakhmawati,"Pelayanan sangat bagus,perawat sigap dalam melayani pasien,ruangan bersih. Terimakasih",5
IKE DANIYATI,Alhamdulillah pelayanan baik dan petugasnya ramah ramah,5
NawwafaA Tamam,Alhamdulillah RSUD Kajen sangat bersahabat dlm memberikan pelayanan pada pasiennya..SUKSES !!!,5
Ali sunan,Terimaksasih rsud kajen,5
Karisma Risma,Terimakasih RSUD kajen,5
sri hartatik,"pelayanan baik,semoga ibu saya cepet sembuh",5
Novia salsa Pradita,❤️❤️❤️❤️,5
Sudi Yono,No review text,5
Lailatul Lutfiani,No review text,5
Mustika Sekar sari,"Tempat nyaman kelas satunya memuaskan,petugas ramah♥️",5
Fakih Rebeca,Bersih ruangannya melati petugasnya sopan ramah,5
Deea Septya,"Walau banyak pasien tapi tetap nyaman, RSUD kajen sekarang memuaskan pertahankan kwalitas nya ya",5
Apriliani Lestari,Puas pokokny di RSUD kajen,5
desvitha anugrahsaputri,"RSUD Kajen pelayanan bagus walau RS pemerintah, masjid nya bagus bersih",5
channel ndeso,Mantap RSUD kajen,5
Afan Hidayat,Petugas ramah ruangan bersih nyaman,5
musisi Pekalongan,Pelayanan dari penetapan smpai ke Melati bagus dan tempat ASRI nyaman adem,5
Devi Cell,Pelayanan RSUD kajen semakin bagus.... Ibu saya di opname di RS kajen sampai sembuh.... Perawat nya ramah... Terimakasih,5
fathan ibnu,No review text,5
Mutiqotul Uyun,No review text,5
Eko Purnomo,"Di ruang seroja pelayanan baik, petugas ramah, alhamdulillah puas dengan pelayanannya",5
Putri Renita,No review text,5
Sari Rosalina,"Rsud pelayananya bagus gedung keren dokter nya ganteng dan cantik juga sabar,,,maju selalu rsud kajen",5
Ibu Dian,"Tempat bersih, nyaman dan petugasnya ramah.bersih sejuk",5
Ajiq Setia,Alhamdulilah RSUD kajen sudah bagus dan memuaskan..bersih ruang melati,5
Nurjanah Janah,Tempatnya sekarang bersih dan sudah bagus,5
Saiful Hadi,"Pelayanan baik,",5
Edi Edi,Pelayanan bagus tempat bersih mantap,5
Ranun Gifti,Pelayanan bagus dan perawat baik baik,5
Tusriyah Tusriyah,Petugasnya ramah,5
Unikal Pekalongan,"Hidup..jaya..jaya..semoga lebih jaya,transpan, akuntable,",5
Nining G,"RSUD Kajen 👍,pelayanan bagus …",5
Pamdanjaya,No review text,5
Dedi Haryanto,No review text,5
Jasmine,"Bagus , perawat nya ramah",5
devi arista,No review text,5
Kus Nendhy,Semoga Ruang Seroja pelayanannya sudah baik tambah baik lagi....RSUD Kajen semakin jaya,5
Risko Sanjaya,Bersih ruangannya,5
Rofi Akim,Pelayanannya ramah dan fasilitas alat  medisnya  juga  lengkap saya  suka.. Terimakasih  🙏🙏 untuk  RSUD  kajen. …,5
Indita Mazyania,Perawatan di ruang seroja.... bapakku di rawat....terima kasih....tingkatkan pelayanan,5
Wahid Km,Pelayanannya ramah tidak membeda bedakan pasien,5
Nurul Khabibah,"Pelayanan sangat baik, perawat dan pegawai sangat ramah",5
Kim Asry,"Baik d pelayanan ya ,,,, kurang wifi buat pasien yg berobat",5
Septiyan Prabowo,"Pelayanannya bagus, perawat nya ramah2 dan cepat tanggap, tempat bersih dan asri. Fasilitas lengkap, parkir luas",5
Ine Prihartini,Alhamdulilah,5
dwi septianti,RSUD kajen is the best .... ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😘😘😘 …,5
Abi Syahril,"Petugas ramah, murah senyum",5
rini damayanti,Semoga semakin lebih bagus,5
Agus Syaefuddin,Pelayanan lebih ditingkatkan,5
Witriyani Triya,No review text,5
Vigi Mega,No review text,5
Zaidan Fathan,Terimakasih RSUD Kajen...dulu pernah opnam di Kajen.... Pelayanan bagus... Pokoke terimakasih... Tingkatkan pelayanan untuk masyarakat Pekalongan dan sekitarnya ❤️,5
Variana322 OJO MBOK GANTI RIS,Rsud kajen tingkatkan kinerjamu.....jaya selalu,5
Sinta Lestari,Untuk pelayanannya sudah baik namun cepat tanggap kepada pasien harus lebih ditingkatkan lagi dan kebersihannya.,4
Ibnul Akhi,No review text,5
teguh subandi,"Pelayanan sudah bagus
Pertahankan dan tingkatkan
Semoga tambah bermanfaat dan barokah",5
Novalya Puspitasari,"RS daerah yg bagus, pelayanannya jg bagus",5
Ika Windi,Rumah sakit dekat rumah dan bagus pelayanannya,5
Irma Andriany,Pelayanannya bagus,5
Hendrianton,"Istri saya pernah di melahirkan diruang bersalin, pelayanan bagus ramah informatif, Terima kasih RSUD Kajen.",5
Muhammad Irfan,pelayanan baik,5
bilbil gisti,Alkhamdulilah istri saya periksa di poli kandungan petugasnya ramah,5
Fina Rihadatul,"Petugasnya ramah, dokternya baik, pelayanan oke lah pokonya",5
nono karyanto,"Petugasnya ramah,pelayanan cepat",5
ikbal 1830,"pelayanan diruang melati sangat baik, perawatnya ramah ramah",5
Ferisya Hafis,"Pelayanan sangat baik diruang melati,perawatnya juga ramah ramah",5
Dibyo Widodo,No review text,5
Yuliana Riska,"Pelayanan diruangan melati sangat baik,perawatnya juga ramah ramah",5
Azzy Zitta,"Sangat memuaskan Alhamdulillah perubahan pelayanan yang positif,suka babaran di ruang melati",5
Pin Din,"Pelayanan diruang melati sangat baik,ruangan nya juga bersih perawatnya ramah ramah",5
Agus Mulyana,pelayanan baik ruang melati,5
Esi Pujiutami,"Pelayanan di ruang melati sangat baik,ruangan nya juga bersih",5
Yars Akhyar07,Pelayana ruang melati sangat baik ruangan nya juga bersih,5
Muhammad Ginanjar,Pelayanan diruang melati sangat baik,5
Gunawan Gunawan,Bagus untuk pelayanan melati,5
amanullah zaeron,No review text,5
eko dpm jepara,Terus tingkatkan mutu kesehatan dan pegawainya,5
Jaya Perkasa,"Ponakan saya dirawat di ruang Flamboyan VIP, pelayanan baik, tapi ruangan VIP sangat sempit, mohon untuk diperbaiki kualitas dan fasilitas ruang VIP nya 🙏 …",5
Berekat Cv,"RS nya bersih, pelayanan ramah",5
